accuracy,reaction_time,target
76.71553811951915,0.7579832463408376,0
27.177313480654252,0.5683648132714904,-1
47.9261248863755,0.8410853906834282,-1
85.36788348073604,0.20022629852898266,1
18.965136207026966,0.9240631220790603,-1
65.39817907472893,0.07304795084755922,0
40.57435859520753,0.7310537096687941,-1
82.73221924917746,0.7805172014083478,1
57.03889112484332,0.768627550628229,-1
92.68293305392689,0.04797332971883128,1
71.91411470413823,0.48089279743302393,0
88.35237845369122,0.5663323426381832,1
18.62992088407672,0.9874714114593119,-1
45.07594246297168,0.49038645237653655,-1
6.407549170530258,0.6940289862440615,-1
72.74584198843262,0.8903094169146074,0
97.1712392669262,0.9375998027799868,1
89.83254196791172,0.8972984161272737,1
59.79213292515166,0.8748645060521687,-1
18.931893095184606,0.1771711884567463,-1
41.20882352848331,0.3300927686743488,-1
31.710863751716577,0.9125686139344119,-1
31.357317756131163,0.29952742933102783,-1
6.2192034128709555,0.26260871821379295,-1
55.23847433911051,0.5692378624886872,-1
15.331383678834065,0.7914875533692228,-1
79.30849551004081,0.8086064710078384,0
89.28611227482729,0.7096962485413775,1
18.921995492600363,0.49982361083701,-1
49.54128418290916,0.8452587759211779,-1
33.06206702157056,0.5842711347374647,-1
35.97074437928247,0.39121277363361073,-1
86.48399167260273,0.1892250439148756,1
79.28794751760039,0.05138814717118678,0
95.09019038988349,0.8797768449798817,1
80.15392567683742,0.9132600897828215,1
52.65398113653651,0.2614176624652019,-1
57.37330552841989,0.25845619594029334,-1
95.73983554857962,0.19682219794754752,1
51.80118106115393,0.6649408090400996,-1
0.46979766373420606,0.5629329613799956,-1
45.41008145745059,0.8814413508808138,-1
62.79446671397746,0.9543346529528389,0
4.915156226653772,0.5613274604664353,-1
19.208662604402527,0.7921762598412753,-1
85.92455225358589,0.5343621957855604,1
7.036661628927076,0.22128122907755488,-1
97.68239089996194,0.2615911527769309,1
4.518128270300814,0.3123071564048917,-1
50.2124527821837,0.0709863835657435,-1
37.830584802323116,0.9748103360290731,-1
9.166828613815447,0.17728799506806836,-1
42.75010725272088,0.16842916998647817,-1
65.5685706462181,0.5487770098173688,0
